Capacity, Server threads, Client threads, Time taken in seconds,Throughput in MOPs
4194304,18,15,0.458800181,9.141897003741592
4194304,18,16,0.447775602,9.366977524603941
4194304,18,18,0.425296464,9.862071178659036
4194304,18,19,0.428829417,9.780821542846722
4194304,18,20,0.411426107,10.194549953535157
4194304,18,21,0.39920272,10.506701958343369
4194304,18,24,0.353529471,11.864085865701421
4194304,18,27,0.320288262,13.095403415064895
4194304,18,28,0.343580323,12.207637397209151
4194304,18,29,0.301405575,13.91581426455035
4194304,18,30,0.293342166,14.298333094056446
4194304,18,31,0.28455694,14.739770535907505
4194304,18,33,0.306972925,13.663433021006657
4194304,18,35,0.293158143,14.307308530058469
4194304,18,36,0.294233601,14.255013654949625
4194304,18,38,0.294560396,14.239198673537905
4194304,18,39,0.292524507,14.338299525789818
4194304,18,44,0.265873858,15.775541196682827
4194304,18,45,0.261022814,16.068725701501325
4194304,18,46,0.260686386,16.089463145190866
4194304,18,48,0.247635968,16.937378014489397
4194304,18,50,0.236035323,17.769814901814506
4194304,19,1,4.105061193,1.0217397019932803
4194304,19,2,2.208230679,1.899395765074415
4194304,19,3,1.599137164,2.622854433267364
4194304,19,4,1.196845398,3.5044659962004547
4194304,19,5,0.988168569,4.244522778380335
4194304,19,6,0.854102193,4.910775354958022
4194304,19,7,0.77724831,5.396350105926895
4194304,19,8,0.696438725,6.022502553975584
4194304,19,9,0.639997472,6.553625886822252
4194304,19,10,0.599973463,6.990815858800742
4194304,19,11,0.557158829,7.5280221396258264
4194304,19,12,0.522631662,8.025353810271065
4194304,19,13,0.499922839,8.389902746571655
4194304,19,14,0.473799522,8.852486769710165
4194304,19,15,0.467165042,8.978206036229912
4194304,19,16,0.449540047,9.33021213124534
4194304,19,17,0.440003768,9.532427458666671
4194304,19,18,0.420609707,9.971961964253953
4194304,19,19,0.404500902,10.369084418012003
4194304,19,20,0.42537946,9.86014698500017
4194304,19,21,0.402297273,10.425882255483248
4194304,19,22,0.391827494,10.70446577697276
4194304,19,23,0.369884729,11.339489498091714
4194304,19,24,0.356163164,11.776355400975717
4194304,19,25,0.347827037,12.058591063465833
4194304,19,26,0.339532551,12.353171993809806
4194304,19,27,0.360545599,11.633213695114332
4194304,19,28,0.352307973,11.905220209137873
4194304,19,29,0.307046295,13.660168086379285
4194304,19,30,0.299878885,13.986659981078693
4194304,19,31,0.293420762,14.294503127219063
4194304,19,32,0.282912863,14.825427007891118
4194304,19,34,0.305355054,13.7358263603523
4194304,19,36,0.294260848,14.253693715991739
4194304,19,37,0.288299674,14.548417422074504
4194304,19,39,0.293222354,14.30417545860095
4194304,19,40,0.289240272,14.501106540240013
4194304,19,41,0.283707968,14.78387804744349
4194304,19,42,0.276410622,15.174178074820874
4194304,19,45,0.268418028,15.626014508980745
4194304,19,46,0.263742864,15.903004678071593
4194304,19,47,0.255231668,16.4333212757909
4194304,19,50,0.239030588,17.547143380662227
4194304,19,54,0.243304464,17.238910996717266
4194304,20,1,4.192265356,1.0004862869658482
4194304,20,2,2.207163903,1.9003137892473951
4194304,20,3,1.594541518,2.630413791458267
4194304,20,4,1.192309581,3.5177977824200677
4194304,20,5,1.00318012,4.181007893178745
4194304,20,6,0.879880426,4.766902269968215
4194304,20,7,0.789384869,5.3133828183372485
4194304,20,8,0.697011988,6.017549299309899
4194304,20,9,0.643539044,6.517559484704708
4194304,20,10,0.59732821,7.0217745115369645
4194304,20,11,0.546977798,7.668143049564874
4194304,20,12,0.512114884,8.190162268355394
4194304,20,13,0.502822034,8.341527849593003
4194304,20,14,0.480432521,8.730266617400781
4194304,20,15,0.467988791,8.962402691392667
4194304,20,17,0.432538472,9.696950147824076
4194304,20,18,0.423024388,9.915040642999525
4194304,20,19,0.407073436,10.303556137718601
4194304,20,20,0.3968648,10.568596660625985
4194304,20,21,0.435836616,9.623569580945901
